num_nodes,file_size_mb,chunk_size_kb,replication_factor,sample_count,upload_mbps_mean,upload_mbps_std,download_mbps_mean,download_mbps_std,recovery_sec_mean,mem_mb_mean
3,1.0,256.0,1.0,1,0.36,0.0,0.72,0.0,0.0,84.9
3,1.0,256.0,2.0,1,0.36,0.0,0.56,0.0,27.968,85.96
3,1.0,512.0,1.0,1,0.73,0.0,1.37,0.0,0.0,92.19
3,1.0,512.0,2.0,1,0.66,0.0,1.49,0.0,27.968,91.88
3,5.0,256.0,1.0,1,0.34,0.0,0.69,0.0,0.0,105.53
3,5.0,256.0,2.0,1,0.34,0.0,0.71,0.0,27.968,117.41
3,5.0,512.0,1.0,1,0.72,0.0,1.57,0.0,0.0,124.14
3,5.0,512.0,2.0,1,0.68,0.0,1.34,0.0,27.968,108.93
